Organism	Is Reference Strain	Species	Species NCBI taxon ID	Strain	Strain NCBI taxon ID	Chromosomes	Supercontigs	Contigs	Genome Source	Genome Version/Assembly ID	Structural Annotation Source	Structural Annotation Version	EC#	Genes	GO terms	Non Protein coding genes	Orthologs	Protein coding genes	Pseudogenes
Cryptococcus neoformans var. neoformans B-3501A	no	Cryptococcus neoformans	5207	var. neoformans B-3501A	283643	14	0	0	GenBank	GCA_000149385.1	GenBank	Mar 21, 2015	954	6608	4842	108	6500	6500	0
Kluyveromyces lactis NRRL Y-1140	yes	Kluyveromyces lactis	28985	NRRL Y-1140	284590	6	0	0	INSDC	GCA_000002515.1	GenBank	2015-02-27	539	5389	3558	313	5076	5076	33
Yarrowia lipolytica CLIB122	yes	Yarrowia lipolytica	4952	CLIB122	284591	6	0	0	GenBank	GCA_000002525.1	GenBank	Feb 27, 2015	870	7223	5220	775	6448	6448	136
Debaryomyces hansenii CBS767	yes	Debaryomyces hansenii	4959	CBS767	284592	7	0	0	INSDC	GCA_000006445.2	GenBank	Feb 27, 2015	888	6698	4777	426	6272	6272	129
Nakaseomyces glabratus CBS 138	yes	Nakaseomyces glabratus	5478	CBS 138	284593	13	0	0	GenBank	GCA_000002545.2	CGD	s02-m07-r27	968	5615	5293	322	5293	5293	18
Schizosaccharomyces pombe 972h-	yes	Schizosaccharomyces pombe	4896	972h-	284812	3	2	0	GenBank	GCA_000002945.2	PomBase	Apr 12, 2016	1541	6995	5134	1857	5138	5138	28
Encephalitozoon cuniculi GB-M1	yes	Encephalitozoon cuniculi	6035	GB-M1	284813	11	0	0	GenBank	GCA_000091225.2	GenBank	Feb 27, 2015	284	2126	1357	33	2093	2093	0
Porospora cf. gigantea B	no	Porospora gigantea	947097	B	2853592	0	933	0	INSDC	GCA_019968985.1	GenBank	Sep 14, 2021	N/A	5361	2353	0	5361	5361	0
Porospora cf. gigantea A	yes	Porospora gigantea	947097	A	2853593	0	787	0	INSDC	GCA_019968955.1	GenBank	Sep 14, 2021	N/A	5270	2311	0	5270	5270	0
Acanthamoeba sp. SK_2022c	no	Acanthamoeba sp.	5756	SK_2022c	2919603	0	20778	0	INSDC	GCA_027944975.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Acanthamoeba sp. SK_2022b	no	Acanthamoeba sp.	5756	SK_2022b	2919604	0	1790	0	INSDC	GCA_027943245.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Acanthamoeba sp. SK_2022a	no	Acanthamoeba sp.	5756	SK_2022a	2919605	0	2108	0	INSDC	GCA_027943295.1	N/A	N/A	N/A	N/A	N/A	0	N/A	0	0
Entamoeba histolytica HM-1:IMSS	yes	Entamoeba histolytica	5759	HM-1:IMSS	294381	0	1496	0	GenBank	GCA_000208925.2	JCVI	Nov 27, 2009	693	8333	4664	132	8201	8201	105
Meyerozyma guilliermondii ATCC 6260	yes	Meyerozyma guilliermondii	4929	ATCC 6260	294746	0	9	0	INSDC	GCA_000149425.1	GenBank	Mar 23, 2015	807	6062	4671	142	5920	5920	6
Candida tropicalis MYA-3404	yes	Candida tropicalis	5482	MYA-3404	294747	0	23	0	GenBank	GCA_000006335.3	GenBank	Mar 12, 2015	950	6441	5128	187	6254	6254	0
Candida albicans WO-1	no	Candida albicans	5476	WO-1	294748	0	16	0	GenBank	GCA_000149445.2	CGD	Dec 11, 2013	933	6160	4934	0	6160	6160	0
Cryptococcus gattii VGII R265	yes	Cryptococcus gattii VGII	1859096	R265	294750	14	0	0	GenBank	GCA_002954075.1	GenBank	Dec 17, 2020	379	6705	4428	281	6424	6424	66
Chaetomium globosum CBS 148.51	yes	Chaetomium globosum	38033	CBS 148.51	306901	0	21	0	INSDC	GCA_000143365.1	GenBank	Mar 23, 2015	1003	11232	6688	184	11048	11048	2
Clavispora lusitaniae ATCC 42720	yes	Clavispora lusitaniae	36911	ATCC 42720	306902	0	9	0	GenBank	GCA_000003835.1	GenBank	Mar 23, 2015	894	6153	4716	217	5936	5936	0
Plasmodium chabaudi chabaudi	yes	Plasmodium chabaudi	5825	chabaudi	31271	14	0	0	GenBank	GCA_900002335.2	GeneDB	Sep 01, 2020	798	5371	3722	172	5199	5199	23
Parastagonospora nodorum SN15	yes	Parastagonospora nodorum	13684	SN15	321614	23	0	0	INSDC	GCA_016801405.1	GenBank	Feb 02, 2021	1122	17580	8833	132	17448	17448	13
Aspergillus fumigatus Af293	yes	Aspergillus fumigatus	746128	Af293	330879	8	0	0	GenBank	GCA_000002655.1	AspGD	Sep 27, 2015	907	10130	9828	290	9840	9840	1
Aspergillus fischeri NRRL 181	yes	Aspergillus fischeri	36630	NRRL 181	331117	0	163	0	GenBank	GCA_000149645.4	GenBank	Jul 14, 2016	1196	10668	8054	278	10390	10390	26
Botrytis cinerea B05.10	yes	Botrytis cinerea	40559	B05.10	332648	18	0	0	GenBank	GCA_000143535.4	Ensembl	Dec. 7, 2017	788	12073	7538	366	11707	11707	4
Aspergillus flavus NRRL3357	yes	Aspergillus flavus	5059	NRRL3357	332952	0	282	0	GenBank	GCA_000006275.3	GenBank	Sep 28, 2020	119	14313	9102	0	14313	14313	0
Theileria parva strain Muguga	yes	Theileria parva	5875	strain Muguga	333668	2	6	0	GenBank	GCA_000165365.1	GenBank	Jun 11, 2020	1	4129	1873	78	4051	4051	0
Fusarium verticillioides 7600	yes	Fusarium verticillioides	117187	7600	334819	11	10	0	GenBank	GCA_000149555.1	GenBank	Mar 11, 2015	1626	16240	9677	371	15869	15869	0
Zymoseptoria tritici IPO323	yes	Zymoseptoria tritici	1047171	IPO323	336722	21	0	0	GenBank	GCA_000219625.1	StukenbrockLab	Jul 01, 2015	780	11839	6293	13	11826	11826	13
Uncinocarpus reesii 1704	yes	Uncinocarpus reesii	33188	1704	336963	0	44	0	GenBank	GCA_000003515.2	GenBank	Mar 23, 2015	808	7856	5242	96	7760	7760	0
Histoplasma capsulatum NAm1	no	Histoplasma capsulatum	5037	NAm1	339724	0	276	0	GenBank	GCA_000149585.1	GenBank	Mar 23, 2015	1085	9402	5433	89	9313	9313	0
Aspergillus terreus NIH2624	yes	Aspergillus terreus	33178	NIH2624	341663	0	26	0	GenBank	GCA_000149615.1	GenBank	Mar 23, 2015	1541	10551	7441	150	10401	10401	0
Aspergillus clavatus NRRL 1	yes	Aspergillus clavatus	5057	NRRL 1	344612	0	143	0	GenBank	GCA_000002715.1	GenBank	Jan 02, 2013	1339	9428	7117	287	9141	9141	24
Leishmania major strain Friedlin	yes	Leishmania major	5664	strain Friedlin	347515	36	0	0	GenBank	GCA_000002725.2	GeneDB	May 28, 2016	1080	9378	5626	1071	8307	8307	95
Dictyostelium discoideum AX4	yes	Dictyostelium discoideum	44689	AX4	352472	7	33	0	INSDC	GCF_000004695.1	RefSeq	Jan 29, 2010	10	13963	9372	672	13291	13291	163
Plasmodium yoelii yoelii 17XNL	no	Plasmodium yoelii	5861	yoelii 17XNL	352914	0	0	5617	GenBank	GCA_000003085.2	GenBank	Sep 1, 2005	470	7774	2256	50	7724	7724	0
Cryptosporidium hominis TU502	yes	Cryptosporidium hominis	237895	TU502	353151	0	0	1422	GenBank	GCA_000006425.1	GenBank	Oct 17, 2004	184	3956	1678	70	3886	3886	0
Cryptosporidium parvum Iowa II	yes	Cryptosporidium parvum	5807	Iowa II	353152	8	0	0	GenBank	GCA_000165345.1	KissingerLab	Feb 27, 2018	446	4020	2404	79	3941	3941	0
Trypanosoma cruzi strain CL Brener	no	Trypanosoma cruzi	5693	strain CL Brener	353153	0	0	29407	GenBank	GCA_000209065.1	GeneDB	Dec 07, 2015	10	3397	738	2153	1244	1244	891
Theileria annulata strain Ankara	yes	Theileria annulata	5874	strain Ankara	353154	4	0	0	GenBank	GCA_000003225.1	GenBank	Feb 02, 2015	519	3796	1822	1	3795	3795	1
Plasmodium falciparum 3D7	yes	Plasmodium falciparum	5833	3D7	36329	14	0	0	GenBank	GCA_000002765.3	GeneDB	Sep 01, 2020	1220	5720	4481	402	5318	5318	158
Trypanosoma cruzi strain Esmeraldo	no	Trypanosoma cruzi	5693	strain Esmeraldo	366581	0	796	15007	GenBank	GCA_000327425.1	n/a	n/a	N/A	N/A	N/A	0	N/A	0	0
Neurospora crassa OR74A	yes	Neurospora crassa	5141	OR74A	367110	7	13	0	GenBank	GCA_000182925.2	GenBank	Mar 23, 2015	1284	10591	7092	833	9758	9758	2
Cryptococcus gattii WM276	yes	Cryptococcus gattii VGI	37769	WM276	367775	14	0	0	GenBank	GCA_000185945.1	GenBank	Oct 01, 2014	881	6580	4708	15	6565	6565	15
Entamoeba dispar SAW760	yes	Entamoeba dispar	46681	SAW760	370354	0	3312	0	GenBank	GCA_000209125.2	JCVI	Nov 27, 2009	2072	8748	5277	4	8744	8744	4
Entamoeba invadens IP1	yes	Entamoeba invadens	33085	IP1	370355	0	1144	0	GenBank	GCA_000330505.1	GenBank	Mar 19, 2015	1486	12007	6188	10	11997	11997	10
Lodderomyces elongisporus NRRL YB-4239	yes	Lodderomyces elongisporus	36914	NRRL YB-4239	379508	0	27	0	INSDC	GCA_000149685.1	GenBank	Jul 14, 2016	785	5908	4470	109	5799	5799	1
Aspergillus niger ATCC 1015	no	Aspergillus niger	5061	ATCC 1015	380704	0	24	0	GenBank	GCA_000230395.2	JGI	4	977	11910	7569	6	11904	11904	6
Pseudocercospora fijiensis CIRAD86	yes	Pseudocercospora fijiensis	1873960	CIRAD86	383855	0	56	0	INSDC	GCA_000340215.1	GenBank	Mar 19, 2015	N/A	13131	7356	66	13065	13065	18
Ascosphaera apis ARSEF 7405	yes	Ascosphaera apis	5105	ARSEF 7405	392613	0	82	0	INSDC	GCA_001636715.1	GenBank	May 2, 2016	799	6442	4727	0	6442	6442	0
Coccidioides immitis H538.4	no	Coccidioides immitis	5501	H538.4	396776	0	553	0	GenBank	GCA_000149815.1	GenBank	Jul 10, 2015	2	10724	5611	186	10538	10538	2
Schizosaccharomyces japonicus yFS275	yes	Schizosaccharomyces japonicus	4897	yFS275	402676	0	32	0	GenBank	GCA_000149845.2	GenBank	Mar 23, 2015	823	5232	4793	346	4886	4886	0
Batrachochytrium dendrobatidis JEL423	yes	Batrachochytrium dendrobatidis	109871	JEL423	403673	0	69	0	GenBank	GCA_000149865.1	GenBank	May 16, 2016	761	8763	5411	133	8630	8630	0
Phytophthora infestans T30-4	yes	Phytophthora infestans	4787	T30-4	403677	0	4921	0	GenBank	GCA_000142945.1	GenBank	Mar 12, 2015	1467	19344	10026	1547	17797	17797	381
Coccidioides immitis RMSCC 2394	no	Coccidioides immitis	5501	RMSCC 2394	404692	0	23	0	GenBank	GCA_000149895.1	GenBank	2015-07-13	N/A	N/A	N/A	0	N/A	0	0
Trichomonas vaginalis G3	no	Trichomonas vaginalis	5722	G3	412133	0	64764	0	GenBank	GCA_000002825.1	JCarltonLab	Sep 12, 2014	1901	98611	16296	4356	94255	94255	3220
Trichoderma virens Gv29-8	yes	Trichoderma virens	29875	Gv29-8	413071	0	0	93	GenBank	GCA_000170995.2	GenBank	Nov 29, 2011	1428	12405	8238	0	12405	12405	0
Eimeria tenella strain Houghton	no	Eimeria tenella	5802	strain Houghton	413949	0	4664	0	GenBank	GCA_000499545.1	GenBank	Nov 5, 2013	432	8634	2981	37	8597	8597	0
Puccinia graminis f. sp. tritici CRL 75-36-700-3	yes	Puccinia graminis	5297	f. sp. tritici CRL 75-36-700-3	418459	0	392	0	GenBank	GCA_000149925.1	GenBank	Mar 11, 2015	1093	16309	6785	509	15800	15800	0
Leishmania braziliensis MHOM/BR/75/M2904	yes	Leishmania braziliensis	5660	MHOM/BR/75/M2904	420245	36	0	103	GenBank	GCA_000002845.2	GeneDB	May 28, 2016	1038	8493	5848	317	8176	8176	178
Aspergillus niger CBS 513.88	yes	Aspergillus niger	5061	CBS 513.88	425011	0	19	0	GenBank	GCA_000002855.2	AspGD	Sep 14, 2015	3236	14403	14031	346	14057	14057	16
Malassezia restricta CBS 7877	no	Malassezia restricta	76775	CBS 7877	425264	9	0	0	INSDC	GCA_003691605.1	GenBank	Oct 29, 2018	1265	4155	3402	59	4096	4096	0
Malassezia globosa CBS 7966	yes	Malassezia globosa	76773	CBS 7966	425265	0	67	0	GenBank	GCA_000181695.1	GenBank	Nov 02, 2007	1	4286	3424	0	4286	4286	0
Fusarium oxysporum f. sp. lycopersici 4287	yes	Fusarium oxysporum	5507	f. sp. lycopersici 4287	426428	15	70	0	GenBank	GCA_000149955.2	GenBank	Aug 20, 2015	1868	21354	11657	429	20925	20925	0
Trypanosoma rangeli SC58	yes	Trypanosoma rangeli	5698	SC58	429131	0	0	7433	GenBank	GCA_000492115.1	GenBank	Oct 30, 2013	564	7475	4625	0	7475	7475	0
Trichoderma reesei QM6a	yes	Trichoderma reesei	51453	QM6a	431241	0	77	0	GenBank	GCA_000167675.2	Apollo	Nov 01, 2021	949	9138	6470	7	9131	9131	7
Globisporangium ultimum DAOM BR144	yes	Globisporangium ultimum	2052682	DAOM BR144	431595	0	975	0	GenBank	GCA_000143045.1	Ensembl	Mar 02, 2016	1243	15430	9301	140	15290	15290	0
Toxoplasma gondii VEG	no	Toxoplasma gondii	5811	VEG	432359	14	1290	0	GenBank	GCA_000150015.2	GenBank	Nov 19, 2013	1341	8563	5046	153	8410	8410	0
Leishmania infantum JPCM5	yes	Leishmania infantum	5671	JPCM5	435258	36	0	0	GenBank	GCA_900500625.2	RequenaLab	Jul 13, 2018	1247	8748	4854	221	8527	8527	64
Cryptosporidium muris RN66	yes	Cryptosporidium muris	5808	RN66	441375	0	84	0	GenBank	GCF_000006515.1	GenBank	Mar 11, 2015	699	3981	2696	47	3934	3934	4
Talaromyces stipitatus ATCC 10500	yes	Talaromyces stipitatus	28564	ATCC 10500	441959	0	820	0	GenBank	GCA_000003125.1	GenBank	Mar 11, 2015	1734	12629	8566	146	12483	12483	13
Talaromyces marneffei ATCC 18224	yes	Talaromyces marneffei	37727	ATCC 18224	441960	0	452	0	GenBank	GCA_000001985.1	GenBank	Mar 11, 2015	1341	10194	7416	145	10049	10049	4
Coccidioides posadasii str. Silveira	yes	Coccidioides posadasii	199306	str. Silveira	443226	0	54	0	GenBank	GCA_000170175.2	GenBank	2015-03-13	1079	10379	5746	154	10225	10225	0
Histoplasma capsulatum G186AR	no	Histoplasma capsulatum	5037	G186AR	447093	6	0	0	GenBank	GCA_017355575.1	GenBank	Mar 15, 2021	N/A	12743	4572	3281	9462	9462	0
Histoplasma capsulatum G217B	yes	Histoplasma capsulatum	5037	G217B	447094	0	11	0	GenBank	GCA_017607445.1	GenBank	Mar 29, 2021	N/A	12363	5526	3148	9215	9215	0
Blastomyces dermatitidis ATCC 26199	no	Blastomyces dermatitidis	5039	ATCC 26199	447095	0	3282	0	INSDC	GCA_000166155.1	GenBank	2015-03-13	887	9560	5745	380	9180	9180	232
Aspergillus fumigatus A1163	no	Aspergillus fumigatus	746128	A1163	451804	0	55	0	GenBank	GCA_000150145.1	AspGD	Dec 16, 2013	1431	10106	7441	199	9907	9907	19
Coccidioides posadasii RMSCC 3488	no	Coccidioides posadasii	199306	RMSCC 3488	454284	0	6	0	GenBank	GCA_000150055.1	GenBank	Jun 29, 2015	1069	10016	5605	119	9897	9897	0
Coccidioides immitis RMSCC 3703	no	Coccidioides immitis	5501	RMSCC 3703	454286	0	286	0	GenBank	GCA_000150085.1	GenBank	2015-07-13	N/A	N/A	N/A	0	N/A	0	0
Coccidioides posadasii RMSCC 2133	no	Coccidioides posadasii	199306	RMSCC 2133	469470	0	53	0	GenBank	GCA_000150185.1	GenBank	2015-07-13	N/A	N/A	N/A	0	N/A	0	0
Coccidioides posadasii RMSCC 3700	no	Coccidioides posadasii	199306	RMSCC 3700	469471	0	241	0	GenBank	GCA_000150215.1	GenBank	2015-07-13	N/A	N/A	N/A	0	N/A	0	0
Coccidioides posadasii CPA 0001	no	Coccidioides posadasii	199306	CPA 0001	469472	0	255	0	GenBank	GCA_000150245.1	GenBank	2015-07-13	N/A	N/A	N/A	0	N/A	0	0
Enterocytozoon bieneusi H348	yes	Enterocytozoon bieneusi	31281	H348	481877	0	3	1730	GenBank	GCA_000209485.1	GenBank	Jan 13, 2009	506	3806	2075	174	3632	3632	3
Paracoccidioides brasiliensis Pb03	yes	Paracoccidioides brasiliensis	121759	Pb03	482561	0	65	0	GenBank	GCA_000150475.2	GenBank	Nov 13, 2014	1047	8548	5181	121	8427	8427	0
Schizosaccharomyces octosporus yFS286	yes	Schizosaccharomyces octosporus	4899	yFS286	483514	0	5	0	GenBank	GCA_000150505.2	GenBank	Mar 23, 2015	830	5355	4380	361	4994	4994	0
Babesia bovis T2Bo	yes	Babesia bovis	5865	T2Bo	484906	3	3	0	GenBank	GCA_000165395.2	GenBank	May 26, 2021	384	3980	1858	24	3956	3956	0
Coccidioides posadasii RMSCC 1037	no	Coccidioides posadasii	199306	RMSCC 1037	490065	0	633	0	GenBank	GCA_000150555.1	GenBank	2015-07-13	N/A	N/A	N/A	0	N/A	0	0
Coccidioides posadasii RMSCC 1038	no	Coccidioides posadasii	199306	RMSCC 1038	490066	0	551	0	GenBank	GCA_000150585.1	GenBank	2015-07-13	N/A	N/A	N/A	0	N/A	0	0
Coccidioides posadasii CPA 0020	no	Coccidioides posadasii	199306	CPA 0020	490068	0	620	0	GenBank	GCA_000150615.1	GenBank	2015-07-13	N/A	N/A	N/A	0	N/A	0	0
Coccidioides posadasii CPA 0066	no	Coccidioides posadasii	199306	CPA 0066	490069	0	473	0	GenBank	GCA_000150645.1	GenBank	2015-07-13	N/A	N/A	N/A	0	N/A	0	0
Penicillium rubens Wisconsin 54-1255	yes	Penicillium rubens	1108849	Wisconsin 54-1255	500485	0	49	0	GenBank	GCA_000226395.1	Ensembl	Feb 01, 2015	1442	14021	7794	1464	12557	12557	1125
Paracoccidioides lutzii Pb01	yes	Paracoccidioides lutzii	1048829	Pb01	502779	0	110	0	GenBank	GCA_000150705.2	GenBank	Nov 03, 2014	1054	8953	5348	127	8826	8826	0
Paracoccidioides brasiliensis Pb18	no	Paracoccidioides brasiliensis	121759	Pb18	502780	0	57	0	GenBank	GCA_000150735.2	GenBank	Oct 24, 2014	1051	8522	5232	132	8390	8390	0
Toxoplasma gondii GT1	no	Toxoplasma gondii	5811	GT1	507601	14	0	2034	GenBank	GCA_000149715.2	GenBank	Jul 19, 2013	1332	8637	4903	177	8460	8460	0
Toxoplasma gondii ME49	yes	Toxoplasma gondii	5811	ME49	508771	14	2248	0	GenBank	GCF_000006565.2	Apollo	Jul 01, 2023	1313	8778	5005	638	8140	8140	24
Aspergillus oryzae RIB40	yes	Aspergillus oryzae	5062	RIB40	510516	8	0	3	GenBank	GCA_000184455.3	AspGD	Oct 04, 2015	1653	12364	12066	274	12090	12090	3
Neurospora tetrasperma FGSC 2508	yes	Neurospora tetrasperma	40127	FGSC 2508	510951	0	81	0	GenBank	GCA_000213175.1	GenBank	Mar 13, 2015	1121	10380	5932	0	10380	10380	0
Neurospora discreta FGSC 8579	yes	Neurospora discreta	29879	FGSC 8579	510953	0	176	0	JGI	1	JGI	1	N/A	10345	4246	397	9948	9948	4
Podospora anserina S mat+	yes	Podospora anserina	2587412	S mat+	515849	0	33	0	INSDC	GCA_000226545.1	GenBank	Aug 21, 2013	958	10888	6989	370	10518	10518	9
Nannizzia gypsea CBS 118893	yes	Nannizzia gypsea	63402	CBS 118893	535722	0	18	0	INSDC	GCA_000150975.2	GenBank	Jul 26, 2016	955	9029	6004	108	8921	8921	0
Histoplasma capsulatum H88	no	Histoplasma capsulatum	5037	H88	544711	6	0	0	GenBank	GCA_017310615.1	GenBank	Mar 09, 2021	794	12289	5468	2977	9312	9312	0
Histoplasma capsulatum H143	no	Histoplasma capsulatum	5037	H143	544712	0	48	0	GenBank	GCA_000151035.1	GenBank	Jul 24, 2016	996	9796	5461	249	9547	9547	0
Microsporum canis CBS 113480	yes	Microsporum canis	63405	CBS 113480	554155	0	16	0	INSDC	GCA_000151145.1	GenBank	Jul 26, 2016	944	8847	6036	82	8765	8765	1
Saccharomyces cerevisiae S288C	yes	Saccharomyces cerevisiae	4932	S288C	559292	16	0	0	GenBank	GCA_000146045.2	SGD	Jul 12, 2013	1776	6350	5895	443	5907	5907	18
Blastomyces dermatitidis ER-3	yes	Blastomyces dermatitidis	5039	ER-3	559297	0	25	0	INSDC	GCA_000003525.2	GenBank	Jun 02, 2016	1092	10081	5730	326	9755	9755	194
Blastomyces gilchristii SLH14081	yes	Blastomyces gilchristii	1681229	SLH14081	559298	0	100	0	INSDC	GCA_000003855.2	GenBank	Jun 02, 2016	1091	10148	5806	456	9692	9692	306
Trichophyton rubrum CBS 118892	yes	Trichophyton rubrum	5551	CBS 118892	559305	0	35	0	INSDC	GCA_000151425.1	GenBank	Mar 12, 2015	847	8713	5536	97	8616	8616	1
Hyaloperonospora arabidopsidis Emoy2	yes	Hyaloperonospora arabidopsidis	272952	Emoy2	559515	0	3044	0	GenBank	GCA_000173235.2	Ensembl	Mar 02, 2016	1029	14267	6179	285	13982	13982	0
Trichophyton equinum CBS 127.97	yes	Trichophyton equinum	63418	CBS 127.97	559882	0	123	0	INSDC	GCA_000151175.1	GenBank	Jul 26, 2016	870	8785	5720	109	8676	8676	6
Neospora caninum Liverpool	yes	Neospora caninum	29176	Liverpool	572307	14	0	52	GenBank	GCA_000208865.2	GenBank	Feb 27, 2015	623	7266	4441	154	7112	7112	10
Plasmodium falciparum 7G8	no	Plasmodium falciparum	5833	7G8	57266	14	0	1	Sanger	Apr 20, 2018	Sanger	Apr 20, 2018	1070	5505	3095	322	5183	5183	161
Plasmodium falciparum Dd2	no	Plasmodium falciparum	5833	Dd2	57267	14	0	0	GenBank	GCA_900632045.1	Sanger	Apr 20, 2018	1079	5461	2740	252	5209	5209	118
Thermothelomyces thermophilus ATCC 42464	yes	Thermothelomyces thermophilus	78579	ATCC 42464	573729	7	0	0	INSDC	GCA_000226095.1	GenBank	Sep 02, 2014	1189	9292	6070	195	9097	9097	3
Candida dubliniensis CD36	yes	Candida dubliniensis	42374	CD36	573826	8	0	0	INSDC	GCA_000026945.1	GenBank	Feb 27, 2015	1415	6095	4638	235	5860	5860	123
Candida parapsilosis CDC317	yes	Candida parapsilosis	5480	CDC317	578454	8	0	0	GenBank	GCA_000182765.2	CGD	s01-m03-r30	936	5984	5837	147	5837	5837	26
Tremella mesenterica DSM 1558	yes	Tremella mesenterica	5217	DSM 1558	578456	0	45	0	GenBank	GCA_000271645.1	GenBank	Mar 18, 2015	556	8309	4088	1	8308	8308	1
Schizophyllum commune H4-8	yes	Schizophyllum commune	5334	H4-8	578458	0	25	0	INSDC	GCA_000143185.2	GenBank	Aug 05, 2022	7	16467	7403	280	16187	16187	1
Nosema ceranae BRL01	yes	Nosema ceranae	40302	BRL01	578460	0	0	5465	GenBank	GCA_000182985.1	GenBank	Jun 9, 2009	210	2678	1191	618	2060	2060	554
Nosema bombycis CQ1	yes	Nosema bombycis	27978	CQ1	578461	0	1607	0	GenBank	GCA_000383075.1	GenBank	Mar 21, 2015	316	4468	2446	0	4468	4468	0
Allomyces macrogynus ATCC 38327	yes	Allomyces macrogynus	28583	ATCC 38327	578462	0	101	0	GenBank	GCA_000151295.1	GenBank	Jul 31, 2015	1989	19333	11948	535	18798	18798	0
Plasmodium berghei ANKA	yes	Plasmodium berghei	5821	ANKA	5823	14	0	5	GenBank	GCA_900002375.2	GeneDB	Sep 01, 2020	792	5254	3681	309	4945	4945	132
Plasmodium falciparum NF54	no	Plasmodium falciparum	5833	NF54	5843	0	28	0	INSDC	GCA_009761475.1	N/A	N/A	59	5609	3479	336	5273	5273	229
Plasmodium knowlesi strain H	yes	Plasmodium knowlesi	5850	strain H	5851	14	0	148	GenBank	GCA_000006355.3	GeneDB	Sep 01, 2020	839	5502	3733	174	5328	5328	12
Giardia Assemblage B isolate GS	no	Giardia Assemblage B	9100000002	isolate GS	598745	0	0	2931	GenBank	GCA_000182405.1	GenBank	Jul 13, 2009	189	4562	2571	92	4470	4470	0
Aspergillus carbonarius ITEM 5010	yes	Aspergillus carbonarius	40993	ITEM 5010	602072	0	829	0	GenBank	GCA_001990825.1	GenBank	Feb 15, 2017	1504	11735	8002	260	11475	11475	0
Puccinia triticina 1-1 BBBD Race 1	yes	Puccinia triticina	208348	1-1 BBBD Race 1	630390	0	0	14818	GenBank	GCA_000151525.2	GenBank	Jun 06, 2016	1127	15692	6277	814	14878	14878	0
Gaeumannomyces tritici R3-111a-1	yes	Gaeumannomyces tritici	36779	R3-111a-1	644352	0	513	0	INSDC	GCA_000145635.1	GenBank	Mar 13, 2015	1006	14749	7746	291	14458	14458	80
Magnaporthiopsis poae ATCC 64411	yes	Magnaporthiopsis poae	148304	ATCC 64411	644358	0	205	0	INSDC	GCA_000193285.1	GenBank	Jun 17, 2015	858	12363	6856	200	12163	12163	9
Colletotrichum graminicola M1.001	yes	Colletotrichum graminicola	31870	M1.001	645133	0	653	0	INSDC	GCA_000149035.1	GenBank	Jul 24, 2016	1119	12400	8131	380	12020	12020	1
Spizellomyces punctatus DAOM BR117	yes	Spizellomyces punctatus	109760	DAOM BR117	645134	0	38	0	GenBank	GCA_000182565.2	GenBank	Jul 29, 2015	1096	9169	6333	219	8950	8950	0
Trichophyton tonsurans CBS 112818	yes	Trichophyton tonsurans	34387	CBS 112818	647933	0	110	0	INSDC	GCA_000151455.1	GenBank	Jul 24, 2016	887	8625	5781	104	8521	8521	4
Hamiltosporidium tvaerminnensis OER-3-3	no	Hamiltosporidium tvaerminnensis	1176355	OER-3-3	657448	0	0	41786	GenBank	GCA_000180835.1	GenBank	Apr 28, 2012	N/A	N/A	N/A	0	N/A	0	0
Pseudogymnoascus destructans 20631-21	yes	Pseudogymnoascus destructans	655981	20631-21	658429	0	1846	0	INSDC	GCA_000184105.1	GenBank	Mar 13, 2015	847	9225	5668	150	9075	9075	2
Giardia Assemblage E isolate P15	no	Giardia Assemblage E	9100000003	isolate P15	658858	0	0	820	GenBank	GCA_000182665.1	GenBank	Oct 05, 2010	193	5159	2947	152	5007	5007	60
Fusarium oxysporum f. sp. conglutinans Fo5176	no	Fusarium oxysporum	5507	f. sp. conglutinans Fo5176	660025	15	4	0	INSDC	GCA_014154955.1	GenBank	Aug 11, 2020	7	17912	10428	0	17912	17912	0
Fusarium oxysporum Fo47	no	Fusarium oxysporum	5507	Fo47	660027	0	124	0	GenBank	GCA_000271705.2	GenBank	Aug 11, 2014	1793	18556	10912	365	18191	18191	0
Fusarium oxysporum NRRL 32931	no	Fusarium oxysporum	5507	NRRL 32931	660029	0	168	0	GenBank	GCA_000271745.2	GenBank	Mar 18, 2015	1692	17642	8578	362	17280	17280	7
Fusarium vanettenii 77-13-4	yes	Fusarium vanettenii	2747968	77-13-4	660122	0	209	0	INSDC	GCA_000151355.1	GenBank	Jul 24, 2016	1288	15708	10340	0	15708	15708	0
Sclerotinia sclerotiorum 1980 UF-70	yes	Sclerotinia sclerotiorum	5180	1980 UF-70	665079	16	0	0	GenBank	GCA_001857865.1	GenBank	Oct 31, 2016	1242	11368	7328	238	11130	11130	0
Trypanosoma brucei gambiense DAL972	no	Trypanosoma brucei	5691	gambiense DAL972	679716	11	0	0	GenBank	GCA_000210295.1	GeneDB	May 28, 2016	791	8082	6502	225	7857	7857	131
Aspergillus aculeatus ATCC 16872	yes	Aspergillus aculeatus	5053	ATCC 16872	690307	0	660	0	GenBank	GCA_001890905.1	GenBank	Dec 08, 2016	1459	11165	7861	322	10843	10843	0
Saprolegnia parasitica CBS 223.65	yes	Saprolegnia parasitica	101203	CBS 223.65	695850	0	1442	0	GenBank	GCA_000151545.2	GenBank	Mar 23, 2015	1440	20435	12261	314	20121	20121	25
